Name,Profession,Location,Address,City,State,Postal_Code,Phone,Website,Email,NPI,Source
N/A,dentist,"Los Angeles, CA","2711 CASIANO RD, LOS ANGELES, CA, 900779007",LOS ANGELES,CA,900779007,310-228-7048,N/A,N/A,1740895150,NPI Registry
N/A,dentist,"Los Angeles, CA","525 N AZUSA AVE #112, LA PUENTE, CA, 91744",LA PUENTE,CA,91744,510-332-4148,N/A,N/A,1952857237,NPI Registry
N/A,dentist,"Los Angeles, CA","2143 CAMDEN AVE, LOS ANGELES, CA, 900255715",LOS ANGELES,CA,900255715,310-923-1700,N/A,N/A,1699934026,NPI Registry
N/A,dentist,"Los Angeles, CA","1212 BROCKTON AVE, #102, LOS ANGELES, CA, 900251355",LOS ANGELES,CA,900251355,310-903-3057,N/A,N/A,1588941603,NPI Registry
N/A,dentist,"Los Angeles, CA","3050 S 1ST ST STE 233, GARLAND, TX, 750413451",GARLAND,TX,750413451,972-840-4200,N/A,N/A,1336611003,NPI Registry
N/A,dentist,"Los Angeles, CA","4201 WILSHIRE BLVD STE 112, LOS ANGELES, CA, 900103602",LOS ANGELES,CA,900103602,323-939-9898,N/A,N/A,1689380222,NPI Registry
N/A,dentist,"Los Angeles, CA","19754 BEACH BLVD, HUNTINGTON BEACH, CA, 926482989",HUNTINGTON BEACH,CA,926482989,714-964-8830,N/A,N/A,1821960758,NPI Registry
N/A,dentist,"Los Angeles, CA","1823 MALCOLM AVE APT 4, LOS ANGELES, CA, 900257642",LOS ANGELES,CA,900257642,310-779-6060,N/A,N/A,1861784324,NPI Registry
N/A,dentist,"Los Angeles, CA","3151 S HOOVER ST, LOS ANGELES, CA, 900897792",LOS ANGELES,CA,900897792,213-740-2012,N/A,N/A,1912109299,NPI Registry
N/A,dentist,"Los Angeles, CA","11955 W WASHINGTON BLVD, LOS ANGELES, CA, 900665887",LOS ANGELES,CA,900665887,310-237-5747,N/A,N/A,1861918831,NPI Registry
N/A,dentist,"Los Angeles, CA","3460 WILSHIRE BLVD, 210, LOS ANGELES, CA, 900102206",LOS ANGELES,CA,900102206,213-386-3348,N/A,N/A,1598975575,NPI Registry
N/A,dentist,"Los Angeles, CA","520 E MANCHESTER AVE, LOS ANGELES, CA, 900033525",LOS ANGELES,CA,900033525,323-753-3000,N/A,N/A,1346913803,NPI Registry
N/A,dentist,"Los Angeles, CA","6451 WHITTIER BLVD, LOS ANGELES, CA, 900224627",LOS ANGELES,CA,900224627,323-728-0241,N/A,N/A,1285790907,NPI Registry
N/A,dentist,"Los Angeles, CA","169 S ALVARADO ST, SUITE # 103, LOS ANGELES, CA, 900572224",LOS ANGELES,CA,900572224,213-353-4723,N/A,N/A,1215171343,NPI Registry
N/A,dentist,"Los Angeles, CA","3311 GLENDALE BLVD, LOS ANGELES, CA, 900391812",LOS ANGELES,CA,900391812,323-665-7665,N/A,N/A,1447340310,NPI Registry
N/A,dentist,"Los Angeles, CA","302 E CARSON AVE FL 10, LAS VEGAS, NV, 891015905",LAS VEGAS,NV,891015905,310-435-5537,N/A,N/A,1497892699,NPI Registry
N/A,dentist,"Los Angeles, CA","1508 S BEVERLY GLEN BLVD, APT 202, LOS ANGELES, CA, 900246192",LOS ANGELES,CA,900246192,310-922-2180,N/A,N/A,1053459065,NPI Registry
N/A,dentist,"Los Angeles, CA","180 E MISSION BLVD, POMONA, CA, 917661843",POMONA,CA,917661843,909-623-5278,N/A,N/A,1740519024,NPI Registry
N/A,dentist,"Los Angeles, CA","925 W 34TH ST # 108, LOS ANGELES, CA, 900893075",LOS ANGELES,CA,900893075,412-608-2381,N/A,N/A,1932453198,NPI Registry
N/A,dentist,"Los Angeles, CA","4650 W SUNSET BLVD, LOS ANGELES, CA, 900276062",LOS ANGELES,CA,900276062,323-660-2450,N/A,N/A,1033522578,NPI Registry
N/A,dentist,"Los Angeles, CA","2720 CIMARRON ST, LOS ANGELES, CA, 900182536",LOS ANGELES,CA,900182536,310-429-0131,N/A,N/A,1326828476,NPI Registry
N/A,dentist,"Los Angeles, CA","2135 CYPRESS AVE, LOS ANGELES, CA, 900651212",LOS ANGELES,CA,900651212,323-223-0731,N/A,N/A,1679505077,NPI Registry
N/A,dentist,"Los Angeles, CA","715 S KING ST STE 425, HONOLULU, HI, 968133021",HONOLULU,HI,968133021,808-521-4421,N/A,N/A,1245799642,NPI Registry
N/A,dentist,"Los Angeles, CA","522 S SAN PEDRO ST, LOS ANGELES, CA, 900132102",LOS ANGELES,CA,900132102,213-486-4045,N/A,N/A,1902306665,NPI Registry
N/A,dentist,"Los Angeles, CA","5220 W WASHINGTON BLVD, SUITE 103, LOS ANGELES, CA, 900161331",LOS ANGELES,CA,900161331,323-933-5641,N/A,N/A,1235240888,NPI Registry
N/A,dentist,"Los Angeles, CA","20707 ANZA AVE, APT # 271, TORRANCE, CA, 905032925",TORRANCE,CA,905032925,424-247-7235,N/A,N/A,1407890056,NPI Registry
N/A,dentist,"Los Angeles, CA","1039 GRANT ST SE STE B11, ATLANTA, GA, 303152050",ATLANTA,GA,303152050,704-747-7888,N/A,N/A,1154913697,NPI Registry
N/A,dentist,"Los Angeles, CA","1184 W 30TH ST, APARTMENT #8, LOS ANGELES, CA, 900073183",LOS ANGELES,CA,900073183,213-925-0210,N/A,N/A,1922346774,NPI Registry
